original_text,processed_text,sentiment,confidence
Jika Indonesia sudah pindah ke ibu kota Nusantara maka mewacanakan satu zona waktu. Karena mengikuti posisi waktu IKN di waktu Indonesia bagian tengah. Jadi Indonesian Standard Time (IST). https://t.co/IRpNQI3wni,indonesia pindah kota nusantara wacana zona ikut posisi ikn indonesia indonesian standard time ist,Neutral,0.9988825917243958
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. https://t.co/kHAbtaapCW,bangun wilayah kota nusantara ikn sebab butuh tanah tingkat,Neutral,0.9666094779968262
Persembahan spesial untuk Indonesia! Saksikan Ibu Kota Nusantara (IKN) - Official Music Video lagu penuh semangat yang menggambarkan harapan baru di jantung negeri. Tonton sekarang! 🇮🇩 #IKN #MusikIndonesia https://t.co/rWVY4dHam0,sembah spesial indonesia saksi kota nusantara ikn official music video lagu penuh semangat gambar harap jantung negeri tonton,Neutral,0.9912740588188171
Otorita Ibu Kota Nusantara (OIKN) mengungkapkan Istana Garuda dan Jalan Tol Akses IKN diusulkan oleh Menteri Pekerjaan Umum (PU) Dody Hanggodo untuk diresmikan oleh Presiden Prabowo Subianto pada 2025. https://t.co/gO5EOnvYqa,otorita kota nusantara oikn istana garuda jalan tol akses ikn usul menteri kerja pu dody hanggodo resmi presiden prabowo subianto 2025,Neutral,0.9987732768058777
@DedynurPalakka JOKOWI LAGI NGENTOT SAMA IRIANA DI DEPAN IBU KOTA NUSANTARA,jokowi ngentot iriana kota nusantara,Neutral,0.9971795082092285
@kapal_lawdd ibu kota nusantara,kota nusantara,Neutral,0.9974908828735352
TNI Angkatan Udara (TNI AU) bakal memperkuat sistem pertahanan udara di Ibu Kota Nusantara (IKN) dengan menghadirkan artileri pertahanan udara (arhanud) yakni rudal jenis baru. | #TNIAU #Rudal #IKN https://t.co/foQZsgWBgY,tni angkat udara tni au kuat sistem tahan udara kota nusantara ikn hadir artileri tahan udara arhanud rudal jenis,Neutral,0.9979767203330994
 Ibu Kota Nusantara (IKN) - Official Music Video Nikmati harmoni budaya &amp,kota nusantara ikn official music video nikmat harmoni budaya amp,Positive,0.9980605244636536
Ibu Kota Nusantara (IKN) jadi primadona wisata selama libur Natal dan Tahun Baru 2024-2025! #IKN #IbuKotaNusantara #WisataIKN #LiburNataru #MasaDepanIndonesia #IKNDestinasiWisata #IKN2024 #PesonaKalimantan #IndonesiaMaju #VisitIKN #Ayobacanews https://t.co/5OJztXKrOa,kota nusantara ikn primadona wisata libur natal 20242025,Positive,0.9934167861938477
Taman Safari dan Investor Theme Park Siap Masuk Ibu Kota Nusantara https://t.co/yo30el1dzL,taman safari investor theme park masuk kota nusantara,Neutral,0.9398201107978821
Ibu Kota Nusantara (IKN) kini menjadi primadona wisata terutama selama libur Natal dan Tahun Baru 2024-2025. Peningkatan jumlah wisatawan yang datang ke Kalimantan Timur terlihat drastis dengan pengunjung yang memadati rest area IKN di Sepaku Kabupaten Penajam Paser Utara. https://t.co/A3XQTSsALV,kota nusantara ikn primadona wisata libur natal 20242025 tingkat wisatawan kalimantan timur drastis unjung padat rest area ikn paku kabupaten najam paser utara,Neutral,0.9915591478347778
@_bsutanto @DokterTifa @prabowo isep aj broh yaman suka kayanya,isep aj broh yaman suka kaya,Positive,0.9556441307067871
Kepala Otorita Ibu Kota Nusantara (IKN) Basuki Hadimuljono bicara tentang minat investor yang akan segera masuk ke IKN. https://t.co/KUxED5nhrk,kepala otorita kota nusantara ikn basuki hadimuljono bicara minat investor masuk ikn,Neutral,0.9986991882324219
Memasuki awal tahun 2025 rencananya akan dilangsungkan prosesi peletakan batu pertama atau groundbreaking di Ibu Kota Nusantara (IKN). https://t.co/NxWdZRCvpy,pasuk 2025 rencana langsung prosesi leta batu groundbreaking kota nusantara ikn,Neutral,0.9985237717628479
Kaleidoskop 2024 Dalam Negeri IKN (Ibu Kota Nusantara) di Kalimantan Timur masih sorotan utama. Perkiraan habiskan anggaran Rp466 triliun. Sampai saat ini sdh habiskan anggaran Rp140 7 triliun. Semula diinfokan ke publik anggarannya bersumber dari swasta. Faktanya dari APBN https://t.co/WqsaHS774R,kaleidoskop 2024 negeri ikn kota nusantara kalimantan timur sorot utama kira habis anggar rp466 triliun sdh habis anggar rp140 triliun info publik anggar sumber swasta fakta apbn,Neutral,0.9985136389732361
