full_text,username,original_text,processed_text,sentiment,confidence
Jika Indonesia sudah pindah ke ibu kota Nusantara maka mewacanakan satu zona waktu. Karena mengikuti posisi waktu IKN di waktu Indonesia bagian tengah. Jadi Indonesian Standard Time (IST). https://t.co/IRpNQI3wni,Wiligis_W11,Jika Indonesia sudah pindah ke ibu kota Nusantara maka mewacanakan satu zona waktu. Karena mengikuti posisi waktu IKN di waktu Indonesia bagian tengah. Jadi Indonesian Standard Time (IST). https://t.co/IRpNQI3wni,jika indonesia sudah pindah ke ibu kota nusantara maka mewacanakan satu zona waktu karena mengikuti posisi waktu ikn di waktu indonesia bagian tengah jadi indonesian standard time ist,Negative,0.9300792813301086
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. https://t.co/kHAbtaapCW,kantahkotsabang,Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. https://t.co/kHAbtaapCW,pembangunan yang teru dilakukan di wilayah ibu kota nusantara ikn menyebabkan kebutuhan tanah yang meningkat,Negative,0.92351233959198
Persembahan spesial untuk Indonesia! Saksikan Ibu Kota Nusantara (IKN) - Official Music Video lagu penuh semangat yang menggambarkan harapan baru di jantung negeri. Tonton sekarang! 🇮🇩 #IKN #MusikIndonesia https://t.co/rWVY4dHam0,EsterKandar,Persembahan spesial untuk Indonesia! Saksikan Ibu Kota Nusantara (IKN) - Official Music Video lagu penuh semangat yang menggambarkan harapan baru di jantung negeri. Tonton sekarang! 🇮🇩 #IKN #MusikIndonesia https://t.co/rWVY4dHam0,persembahan spesial untuk indonesia saksikan ibu kota nusantara ikn offici music video lagu penuh semangat yang menggambarkan harapan baru di jantung negeri tonton sekarang,Negative,0.980504035949707
Otorita Ibu Kota Nusantara (OIKN) mengungkapkan Istana Garuda dan Jalan Tol Akses IKN diusulkan oleh Menteri Pekerjaan Umum (PU) Dody Hanggodo untuk diresmikan oleh Presiden Prabowo Subianto pada 2025. https://t.co/gO5EOnvYqa,antaranews,Otorita Ibu Kota Nusantara (OIKN) mengungkapkan Istana Garuda dan Jalan Tol Akses IKN diusulkan oleh Menteri Pekerjaan Umum (PU) Dody Hanggodo untuk diresmikan oleh Presiden Prabowo Subianto pada 2025. https://t.co/gO5EOnvYqa,otorita ibu kota nusantara oikn mengungkapkan istana garuda dan jalan tol aks ikn diusulkan oleh menteri pekerjaan umum pu dodi hanggodo untuk diresmikan oleh presiden prabowo subianto pada 2025,Negative,0.9877839684486389
@DedynurPalakka JOKOWI LAGI NGENTOT SAMA IRIANA DI DEPAN IBU KOTA NUSANTARA,brows24077,@DedynurPalakka JOKOWI LAGI NGENTOT SAMA IRIANA DI DEPAN IBU KOTA NUSANTARA,jokowi lagi ngentot sama iriana di depan ibu kota nusantara,Negative,0.9599381685256958
@kapal_lawdd ibu kota nusantara,perkarasipil,@kapal_lawdd ibu kota nusantara,ibu kota nusantara,Positive,0.8115950226783752
TNI Angkatan Udara (TNI AU) bakal memperkuat sistem pertahanan udara di Ibu Kota Nusantara (IKN) dengan menghadirkan artileri pertahanan udara (arhanud) yakni rudal jenis baru. | #TNIAU #Rudal #IKN https://t.co/foQZsgWBgY,kompascom,TNI Angkatan Udara (TNI AU) bakal memperkuat sistem pertahanan udara di Ibu Kota Nusantara (IKN) dengan menghadirkan artileri pertahanan udara (arhanud) yakni rudal jenis baru. | #TNIAU #Rudal #IKN https://t.co/foQZsgWBgY,tni angkatan udara tni au bakal memperkuat sistem pertahanan udara di ibu kota nusantara ikn dengan menghadirkan artileri pertahanan udara arhanud yakni rudal jeni baru,Negative,0.9923456311225891
 Ibu Kota Nusantara (IKN) - Official Music Video Nikmati harmoni budaya &amp,, Ibu Kota Nusantara (IKN) - Official Music Video Nikmati harmoni budaya &amp,ibu kota nusantara ikn offici music video nikmati harmoni budaya amp,Negative,0.9904941916465759
Ibu Kota Nusantara (IKN) jadi primadona wisata selama libur Natal dan Tahun Baru 2024-2025! #IKN #IbuKotaNusantara #WisataIKN #LiburNataru #MasaDepanIndonesia #IKNDestinasiWisata #IKN2024 #PesonaKalimantan #IndonesiaMaju #VisitIKN #Ayobacanews https://t.co/5OJztXKrOa,ayobacanews,Ibu Kota Nusantara (IKN) jadi primadona wisata selama libur Natal dan Tahun Baru 2024-2025! #IKN #IbuKotaNusantara #WisataIKN #LiburNataru #MasaDepanIndonesia #IKNDestinasiWisata #IKN2024 #PesonaKalimantan #IndonesiaMaju #VisitIKN #Ayobacanews https://t.co/5OJztXKrOa,ibu kota nusantara ikn jadi primadona wisata selama libur natal dan tahun baru 20242025,Negative,0.9176971316337585
Taman Safari dan Investor Theme Park Siap Masuk Ibu Kota Nusantara https://t.co/yo30el1dzL,pradanaMedia,Taman Safari dan Investor Theme Park Siap Masuk Ibu Kota Nusantara https://t.co/yo30el1dzL,taman safari dan investor theme park siap masuk ibu kota nusantara,Neutral,0.6148794889450073
