full_text;username;label
@politvidchannel Tryna sabotage my guy Trump;Csob13;
@OliFatouAisha @EricLDaugh It s about timing. Unfortunately since we have a very slim house majority Johnson is needed for now. If we get rid of Johnson now it will delay swearing in the new republicans and delay certifying Trump.;RivrSide32012;
@STrimel Haha Kamala lost lol haha!!! Trump is president haha lol if Bills win superbowl by one point who are the champs? Haha ! Now go shave your head lol https://t.co/5L5BVjvm0S;Winning17Trump;
@seanonolennon Cute couple! ;Trump_Hispanics;
Can someone explain to JoJo that Trump is going to bring the cost of goods down? https://t.co/yYNfngapz5;TheGeneral_0;
@shannonazusa Couldn t agree more! I stand with President Trump JD Vance Elon and Vivek! Happy New Year! The best is yet to come ;RealSeq16;
I don't agree with the conclusion reached here. In what way does the success of SpaceX depend on foreign low-skilled tech workers? Trump has also stated we should seek to keep qualified graduates from US universities here. The key is admitting those that benefit the country.;swartz_ralph_c;
@ChrisDJackson You don t know Trump. Obviously.;MHeartsya;
@CollinRugg Whoa;Donnie4Veterans;
A young Steve McQueen;USATRUMPMAN1;
@RogerJStoneJr @TPUSA @TPAction_ @charliekirk11 @TeamTrump @TrumpWarRoom He is absolutely correct! If the GOP does not give President Trump his cabinet the MAGA people will deliver a catastrophic GOP voter turnout in two and again in four years. They beli;JeffBamBam6;
@thevivafrei Trump will pass on of natural causes in March of 2029.;OkNotThisTime;
@TRUMP_ARMY_ Amen;LindaMarli28840;
@POTUS Make sure Trump is in the jail house and not the White House!;minesce23;
@swinnybottom @Anthony70520144 @runews Long live mother Russia 🇷🇺 long live putin;KingTrump88;
Really? I thought Trump was going to be the guru to 'save the economy' Sold some bad goods? Americans Predict Challenges in 2025 With a Few Bright Spots https://t.co/U3D3ypajRG;RickOceanMusic;
@PattieDP Journey ;2024UltraMAGA;
Realize Trump was gracious in his condolences because he has class. The Americans clearly know &amp;;
@Capsizing__ @LakeShowYo @DanWoikeSports @BenjayCreates its always the trumpers. they say this then buy Trump bibles colognes etc;RJP757;
DON T. FORGET. THAT. TRUMP. IS RESPONSIBLE. FOR. THIS. !!!;FrWulff;
@MBrooks81301844 @politvidchannel And that's why Trump should follow through and move agencies around the country. Too expensive to live near DC and too liberal. Many workers are taking advantage of the work from home to do little to no work.;OlonRich;
@realDonaldTrump Thank you President Trump for everything you are doing to make this country great again! Your courage and resilience in the fight for this great nation is remarkable! I m so thankful to have a president that never surrenders and has God o;okimhonest;
@RonFilipkowski Biden will go down in history as the President who defended Ukraine and democracy. Trump will be remembered as the Cheeseburger Eating Surrender Monkey!;Stephen63592394;
@acnewsitics I know you re slow but walking across the boarder and claiming asylum even if it s not true or crossing now with the CBP app is technically legal He wants all that crap to end and it will!;TrumpVictorious;
@profsamperry I dont see anywhere he mentioned Trump. Your TDS needs treatment Sammy.;TheOnlyG_Lover;
@Jeremy_Rich12 You JEREMY are just one reason I have such DEEP admiration and RESPECT for GREAT AMERICAN MEN that raise GREAT AMERICAN BEEF!!! Thank you and have a VERY BLESSED 2025!!! https://t.co/tXl6uMLF5R;SUECGODSGIRL;
@DefiyantlyFree The ENEMY IS IN the HOUSE - ZERO DEFENSE! The ENEMY ATTACKS EVERY DAY - ZERO ARRESTED! The ENEMY ACTIVELY DESTROYS America = SILENCE! The ENEMY IS A KNOWN PROVEN TRAITOROUS PARTY called the Democrats (and RINO's) DESTRUCTION CONTINUES! Ame;DaveServed;
@alx Trump winning 2024 was even better than 2016 with all of the hurdles he had to overcome and the work he has ahead of him.;rxse7en;
@SpeakerJohnson You better get Trump haters Massie and Roy in line Right Now! We are barely tolerating you. We voted for Trump;slmc05;
@ARhysTay I would trust a rattle snake before I would trust Mr. Trump!;MikeMr0768248;
This too is Trump distracting you from HIS confirmation. He collaborated illegally to rig the election.;GolfDevo;
@bhurd2 @ChrisMartzWX @KathyHochul We produce oil in California. California s only hope of surviving as a State is if President Trump declares a National Energy Emergency and takes all of California s special powers away from them to exterminate the oil p;;
@andreajordan66 @saras76 @ShalleyJm Complete BS. Trump golfed on weekends just like Obama. Biden is on perpetual vacation.;KLong909;
@ProudElephantUS I support President Trump so yes;HutchingsR72081;
@realTrumpNewsX Trump be sure to invite President Jair Bolsonaro to your investiture on January 20;robertojuanbr;
The 20 realities of the American system (before Trump gets a second crack at wrecking it even more) by @RBReich https://t.co/ZlPrBNBF6U;PhilCygnus;
Happy New Year from our sinking United Kingdom to all those living across the puddle in the Unite States of America. Roll on the inauguration of President Trump ;JamesHuckleber8;
Happy New Year to everyone who didn't vote for Trump or support a Genocide in 2024. And as for Jimmy and Chris - hope you both die the most horrible deaths for what you did. Actually I suspect Chris is dead already and that's good. Sorry just venting.;mothboy2;
Trump ate when he said Ppl are dying that never died before cause where s the lie ;kikikanbraid;
@RickyDoggin @KaCurrie_45 Good work done anonymously by Trump and Musk.;1patmar1;
https://t.co/UFW6YJNJgP Jesus You know that Trump did not incite the Riot at the Capitol because Antifa people were breaking in before Trump finished his speech. This is another Harassment of Trump.;helenbible77;
@JDVanceNewsX No..it was staged by Trump.;IlannaPhillips;
@SmallMetalOwl Giving up? Lol these same people do whatever trump says and trump endorsed Johnson for speaker so what's the problem?;Darthballz619;
@DrJacobsRad @ABDanielleSmith A ditzy talk show host is not very smart . How is she dealing with the issue ?? Oh I know by selling Canada out to trump and his mob of criminals. Dani and her separatist agenda isn't smart . She is dangerous to Canada.;hawaii_lei81611;
@CHRISsW0RLD Same here ! I voted for Trump and I trust him to do what s right .;Christi72863929;
'All Butthurt!' Don Lemon Taunts MAGA In New Rant Over His Blistering Attack On 'Racist' Trump Fans https://t.co/7VcB0DutBf;Mediaite;
Happy New Year from 🇳🇴 Arctic Norway! https://t.co/Enp19QHRUK;Norway4Trump;
TRUMP WON GET OVER IT;Gary_white6208;
@robbi_fahey @EWErickson Trump has the same position he had during his first term! Which is also the same position as Elon. https://t.co/Iix01A3GBr;MariaLovesUSA;
@LBelle355 Leftists tend to be angry racists too. Especially if a POC votes non Democrat. Did they say anything like Hail Trump. They did a study awhile ago where they asked left right and center people to answer questions like each group. Lefties answere;darthzaketh;
@realDonaldTrump Thank you President Trump. America is counting on you.;ColleenWharton;
WOAH look how many responses they got AND IT'S ALL FAKE https://t.co/TbZn03Ajic;dollmaker27;
@MarioNawfal It s classic Washington: slap temporary on something and it becomes a forever policy. Thirty years later the temporary immigration program now feels like it s carved in stone. Biden expanding TPS is like adding fuel to a fire Trump has alread;thetrumptoken;
@catturd2 You need NON INSURRECTIONIST ID to be president. Trump does not have one. https://t.co/iuJVnSzc46;theewarrant;
@TRUMP_ARMY_ @realDonaldTrump No proof of that.;Marcia74192580;
@TheTNHoller @mcuban @Biggie_Johnson6 How Trump caused inflation;josephwbrody;
@LynnHall268 @TalkSixNine Following;Gimpa4Trump;
I can t wait until January 20. But I have to remember it took over 4 yrs to get the United States where it is at right now I have great hopes for President Trump and I pray for him every single day but I have to remember it won t be done in a day.;lauralusk06;
@MAGAVoice And Trump just endorsed him!!!;CamB1776;
@laura_greenaura It is weird but we elected Trump We did not elect Shadow President Musk.;ultragrift;
@RpsAgainstTrump Perhaps you should not have destroyed your reputation and career by telling lies about election interference for Donald Trump. When you are in a position of authority and lie there are consequences. Donald Trump destroys anybody who works;CiroLargo;
@dad_mode11 @Angry_Patriot_1 @JenResistedAGN Trump absolutely got special rules put in place and used against him. That s exactly what I said. You just like those special rules.;ashlee_leeee;
