Author,Ulasan,cleaned_text,sentiment,confidence
@mesrawatizai4595,Penilaian individu<br>Gibran 100 % krn mampu memberikan argumenetasi yang tepat<br><br>Prof Mahfud MD 85 % karena masih belum.bisa menjelaskan secara detail<br><br>Muhaimin 45 % karena setiap jawaban terlalu normatif alias tak ada ide baru,nilai individubrgibran krn argumenetasi tepatbrbrprof mahfud belumbisa detailbrbrmuhaimin normatif alias ide,Netral,0.4019451141357422
@mariyatulkifliah6861,"kalo 1 sm 3 kepilih kasian ah, ntr hutangnya banyak di akhirat krn rakyat pada nagihin janji pempin yg g make sense, janji si janji pakk tp g segitunya kalii",kalo pilih kasi ntr hutang akhirat krn rakyat nagihin janji pempin make sense janji janji pakk segitunya kali,Positif,0.36508709192276
@dininoviana1207,Arti SLEPET apa ya ? biar kita satu pemahaman mengenai slepet ini wkwk..,arti slepet biar paham slepet wkwk,Netral,0.39494481682777405
@keyhead,"Demi perubahan, tetap saya pilih 01 AMIN.<br>Krn saya bukan penggerak akun BUZZER yg komennya serempak COPY-PASTE",ubah pilih aminbrkrn gerak akun buzzer komennya serempak copypaste,Netral,0.442536324262619
@Naa.janah_,"keren bgt mas gibran , all in prabowo pokoke",keren bgt mas gibran all prabowo pokoke,Positif,0.39255964756011963
@user-wj2vs3ur4v,Oke smua.<br>Tp ttp kita harus di salah satu yg. Bnr kita sukq.<br>Inti nya.<br>Bagus smua.<br>Pedoman satu yg kita pilih..gk mungkin smua yg kita jadi kqn persiden indonesia.. <br>Tt saya 2,oke smuabrtp ttp salah bnr sukqbrinti nyabrbagus smuabrpedoman pilihgk smua kqn persiden indonesia brtt,Positif,0.34667739272117615
@user-ct5yc8zp3t,Mantap,mantap,Negatif,0.43323418498039246
@aaep24434,indoNesia butuh uzumaki gibran,indonesia butuh uzumaki gibran,Netral,0.36886584758758545
@ikahmudrikah5612,Cak Imin slepet slepet wae😭,cak imin slepet slepet wae,Netral,0.3712210953235626
@akbarrevansa4102,Nggk usah bangga kamu bran gibran pencalonanmu slalu bermasalah fulu soal mk sekarang soal pakai alat bantu yg penuh kecurangan,nggk bangga bran gibran calon slalu masalah fulu pakai alat bantu penuh curang,Netral,0.36730432510375977
@iekhainggridutami3377,NYELEPET😂😂😂😂,nyelepet,Netral,0.3710792660713196
@user-bh4qo5wx8p,Gibaran oke kak,gibaran oke kak,Netral,0.3815576434135437
@mansuradiwijaya7560,"P Mahfud md  waktu debat baju nya bawa kesukuan madura, karena pemilih bukan orang madura saja seharus nya baju yang Nasional .",mahfud debat baju nya bawa suku madura pilih orang madura harus nya baju nasional,Negatif,0.36425548791885376
@callu9297,Pak gibran ini saveg,gibran saveg,Netral,0.4341159760951996
@user-yh8zt7fe5w,Anis muhaimin yg wajib menang... Prabowo gibran   y gitu gitu aja,anis muhaimin wajib menang prabowo gibran gitu gitu aja,Positif,0.37815266847610474
@rinchan1515,Jd ketua rt,ketua,Negatif,0.36447852849960327
@bagasutomo640,Slepet gundulmu,slepet gundul,Netral,0.4068423807621002
@iwanliando1382,"Unyil ngelindurrr mimpi disiang bolong. Pisang pisang pisang goreng endiiiiiii nyil.. goreng pisang dl ,..",unyil ngelindurrr mimpi siang bolong pisang pisang pisang goreng endiiiiiii nyil goreng pisang,Netral,0.4084864854812622
@rinchan1515,Unyil sp,unyil,Netral,0.37338176369667053
@amsoriizzar4062,Debat tidak adil,debat adil,Netral,0.37700727581977844
@amsoriizzar4062,Ko yg d bantai terus no.1,bantai,Negatif,0.40070879459381104
@NetralNetral-ps2ur,Tunggu tgl mainya .sebagian masih teori .,tunggu tgl mai teori,Netral,0.3664979040622711
@johanyohaneslende,Nomor 2 siap memimpin Indonesia 👍,nomor pimpin indonesia,Netral,0.4329289495944977
@baguscahyadi253,Saatnya pemuda bangkit,pemuda bangkit,Positif,0.3622855246067047
@johanyohaneslende,Semangat terus Abang Gibran👍🙏,semangat abang gibran,Negatif,0.3618907034397125
@IrwanFans28,5 miliar perdesa dan dan mengeratis kan Bbm. Uang nya dri mana pak😂,miliar desa erat bbm uang nya dri,Netral,0.4615497589111328
@ezraelfjr9447,"Melihat mas Gibran seperti melihat Jokowi muda, maju Prabowo Gibran 💪👑",mas gibran jokowi muda maju prabowo gibran,Netral,0.38087424635887146
@nurwati2144,All inn prabowo gibran❤❤❤❤❤,all inn prabowo gibran,Negatif,0.3752758800983429
@mariaagustina9774,Haduuuhhh mas gibraan ampuunn<br>Joss gandoooss<br>Diluar expectasi yg biasanya pendiam <br>Fix prabowo gibran,haduuuhhh mas gibraan ampuunnbrjoss gandooossbrdiluar expectasi diam brfix prabowo gibran,Netral,0.3552328050136566
@rayazidan9726,Musik ny pas calon2 masuk bagus.. Q suka banget... Seperti kesatria pas lg menunjukan siapa apling hebat... ❤❤❤,musik pas calon masuk bagus suka banget kesatria pas tunjuk apling hebat,Netral,0.44862809777259827
@sudiuskogoya8860,Prabowo Subianto ❤❤🎉,prabowo subianto,Positif,0.35068604350090027
@ikalmokoginta5108,✌️,,Netral,1.0
@LazulfaInda,Mas gibran❤❤❤❤,mas gibran,Negatif,0.377594918012619
@sudiuskogoya8860,"Emang Gibran orang lapangan kerja, yg lain hanya Mentri &quot; yg paling tahu  kelola dana APBN itu Bapak Gibran",emang gibran orang lapang kerja tri quot kelola dana apbn gibran,Positif,0.3528713881969452
@sudiuskogoya8860,Prabgib❤,prabgib,Negatif,0.34174400568008423
