conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;"username"""""""
1773911659364659582;Sat Mar 30 03:14:31 +0000 2024;0;Saya telah menang semuanya - Messi Messi sudah berjaya menjulang pelbagai trofi sepanjang kariernya dan mengakui sudah rasa cukup dengan pencapaian yang diraihnya itu. #sinarharian #Messi #PialaDunia https://t.co/7IgXxnmARS;1,77391E+18;;;in;Malaysia;0;0;0;https://x.com/SinarOnline/status/1773911659364659582;331383958;SinarOnline
1773740305579479334;Fri Mar 29 15:53:38 +0000 2024;1;https://t.co/33cPo9wLCE Sehabis Gareth Southgate menganjurkan supaya dia memilah skuad yang lebih besar UEFA berkata mereka hendak memikirkan permintaan buat mempraktikkan kembali batas 26 pemain. #EURO #Euro2024 #GarethSouthgate #PialaDunia2022 #Pildun #PialaDunia https://t.co/YjZy5V2ccg;1,77374E+18;https://pbs.twimg.com/media/GJ2XZyobcAEi05t.jpg;;in;;0;1;0;https://x.com/BandarBolaTop/status/1773740305579479334;1,33388E+18;BandarBolaTop
1773226823268131104;Thu Mar 28 05:53:14 +0000 2024;2;Gimana menurut kalian pemain naturalisasi ini gacor GK farm= $BLOCK #TimnasDay #pialadunia #timnasindonesia #PSSI #sepakbola #beritabola https://t.co/faiYjlPiNV;1,77323E+18;https://pbs.twimg.com/ext_tw_video_thumb/1773226711825682432/pu/img/ycpN5qUGG4qmmG3p.jpg;;in;Indonesia;0;3;1;https://x.com/Fajrin_123321/status/1773226823268131104;835042700;Fajrin_123321
1772967747049382161;Wed Mar 27 12:43:45 +0000 2024;6;Kelayakan Piala Dunia/Asia: Disebalik kekalahan yang perit Kim Pan Gon turut simpati dengan pemain negara yang dikatakan kekurangan aksi kompetitif ! #NadiArena #AstroArena #PialaDunia #KimPanGon https://t.co/xQu9a1SiuF;1,77297E+18;https://pbs.twimg.com/media/GJuj9P_aEAAKRYM.jpg;;in;Bukit Jalil ;0;0;2;https://x.com/ASTROARENA/status/1772967747049382161;160788306;ASTROARENA
1772967065445601721;Wed Mar 27 12:41:03 +0000 2024;3;Kelayakan Piala Dunia/Asia: Dengan kesebelasan pemain yang dimiliki Malaysia sepatutnya mampu catat keputusan yang lebih baik di bukit Jalil! - Datuk K. Rajagobal #NadiArena #AstroArena #PialaDunia #KimPanGon https://t.co/MagnLEF8YD;1,77297E+18;https://pbs.twimg.com/media/GJukAE-boAAhvKD.jpg;;in;Bukit Jalil ;0;0;1;https://x.com/ASTROARENA/status/1772967065445601721;160788306;ASTROARENA
1772966489894871140;Wed Mar 27 12:38:45 +0000 2024;6;Bagai dah jatuh ditimpa tangga..Nasib Azam Azmi tambah malang kerana mungkin terpaksa lupakan aksi di Qatar akibat kecederaan yang dialami ketika aksi Malaysia dengan Oman! ‍️‍️ #NadiArena #AstroArena #PialaDunia https://t.co/pab5l0UVmr;1,77297E+18;https://pbs.twimg.com/media/GJuj63BaMAAWV6X.jpg;;in;Bukit Jalil ;0;0;2;https://x.com/ASTROARENA/status/1772966489894871140;160788306;ASTROARENA
1772965379775873521;Wed Mar 27 12:34:21 +0000 2024;4;Kelayakan Piala Dunia/Asia: Penjaga gol Oman Ibrahim Al Mukhaini enggan dianggap sebagai wira walau catat kemenangan ke atas Malaysia di tempat lawan! #NadiArena #AstroArena #PialaDunia https://t.co/wYXXr5Ddhb;1,77297E+18;https://pbs.twimg.com/amplify_video_thumb/1772961759319797760/img/_iN4_9vwBJctTNTu.jpg;;in;Bukit Jalil ;0;0;0;https://x.com/ASTROARENA/status/1772965379775873521;160788306;ASTROARENA
1772932194991735250;Wed Mar 27 10:22:29 +0000 2024;0;Harapan Indonesia Lolos Semakin Besar 6 Tim ke Putaran Ketiga Kualifikasi Piala Dunia FIFA 2026 #Berita #Seketika #fyp #fypシ #bola #FIFAWorldCup #KualifikasiAsia #SepakBola #TimNasional #PialaDunia #HasilPertandingan https://t.co/IGT6HhLgdl;1,77293E+18;;;in;Jakarta;0;0;0;https://x.com/seketikanet/status/1772932194991735250;1,69643E+18;seketikanet
1772904691459854796;Wed Mar 27 08:33:12 +0000 2024;2;Walau sempat disindir terus oleh Vietnam Skuad Garuda sukses membuktikan kelas dengan membobol gawang Vietnam 3 gol tanpa balas kemarin malam! Nikmati LIVE STREAMING GRATIS hanya dengan join Telegram Channel yang ada di LINK BIO ️ #TimnasIndonesia #PSSI #PialaDunia https://t.co/u7RozlH6Tf;1,7729E+18;https://pbs.twimg.com/ext_tw_video_thumb/1772904641866727424/pu/img/QnFtOt3bfpGgT-0i.jpg;;in;;0;0;1;https://x.com/esnlineofficial/status/1772904691459854796;1,75272E+18;esnlineofficial
1772870144886518125;Wed Mar 27 06:15:55 +0000 2024;0;pertandingan BRI liga 1 2023-2024 kamis 28 maret 2024. service berpengalaman akan melayani selama 24 jam nonstop. https://t.co/H3YXoCJZOR #liga365 #jadwalbola #pialadunia #fifa #argentina #prancis #agenbola #bandarbola #judibola #taruhanbola #sportbook #bettingbola https://t.co/37Bp8Yj3QB;1,77287E+18;https://pbs.twimg.com/media/GJp_3Z0bUAAydg0.jpg;;in;;0;0;0;https://x.com/situs_liga365/status/1772870144886518125;1,51238E+18;situs_liga365
