Author,Ulasan
@mesrawatizai4595,Penilaian individu<br>Gibran 100 % krn mampu memberikan argumenetasi yang tepat<br><br>Prof Mahfud MD 85 % karena masih belum.bisa menjelaskan secara detail<br><br>Muhaimin 45 % karena setiap jawaban terlalu normatif alias tak ada ide baru
@mariyatulkifliah6861,"kalo 1 sm 3 kepilih kasian ah, ntr hutangnya banyak di akhirat krn rakyat pada nagihin janji pempin yg g make sense, janji si janji pakk tp g segitunya kalii"
@dininoviana1207,Arti SLEPET apa ya ? biar kita satu pemahaman mengenai slepet ini wkwk..
@keyhead,"Demi perubahan, tetap saya pilih 01 AMIN.<br>Krn saya bukan penggerak akun BUZZER yg komennya serempak COPY-PASTE"
@Naa.janah_,"keren bgt mas gibran , all in prabowo pokoke"
@user-wj2vs3ur4v,Oke smua.<br>Tp ttp kita harus di salah satu yg. Bnr kita sukq.<br>Inti nya.<br>Bagus smua.<br>Pedoman satu yg kita pilih..gk mungkin smua yg kita jadi kqn persiden indonesia.. <br>Tt saya 2
@user-ct5yc8zp3t,Mantap
@aaep24434,indoNesia butuh uzumaki gibran
@ikahmudrikah5612,Cak Imin slepet slepet wae😭
@akbarrevansa4102,Nggk usah bangga kamu bran gibran pencalonanmu slalu bermasalah fulu soal mk sekarang soal pakai alat bantu yg penuh kecurangan
@iekhainggridutami3377,NYELEPET😂😂😂😂
@user-bh4qo5wx8p,Gibaran oke kak
@mansuradiwijaya7560,"P Mahfud md  waktu debat baju nya bawa kesukuan madura, karena pemilih bukan orang madura saja seharus nya baju yang Nasional ."
@callu9297,Pak gibran ini saveg
@user-yh8zt7fe5w,Anis muhaimin yg wajib menang... Prabowo gibran   y gitu gitu aja
@rinchan1515,Jd ketua rt
@bagasutomo640,Slepet gundulmu
@iwanliando1382,"Unyil ngelindurrr mimpi disiang bolong. Pisang pisang pisang goreng endiiiiiii nyil.. goreng pisang dl ,.."
@rinchan1515,Unyil sp
@amsoriizzar4062,Debat tidak adil
@amsoriizzar4062,Ko yg d bantai terus no.1
@NetralNetral-ps2ur,Tunggu tgl mainya .sebagian masih teori .
@johanyohaneslende,Nomor 2 siap memimpin Indonesia 👍
@baguscahyadi253,Saatnya pemuda bangkit
@johanyohaneslende,Semangat terus Abang Gibran👍🙏
@IrwanFans28,5 miliar perdesa dan dan mengeratis kan Bbm. Uang nya dri mana pak😂
@ezraelfjr9447,"Melihat mas Gibran seperti melihat Jokowi muda, maju Prabowo Gibran 💪👑"
@nurwati2144,All inn prabowo gibran❤❤❤❤❤
@mariaagustina9774,Haduuuhhh mas gibraan ampuunn<br>Joss gandoooss<br>Diluar expectasi yg biasanya pendiam <br>Fix prabowo gibran
@rayazidan9726,Musik ny pas calon2 masuk bagus.. Q suka banget... Seperti kesatria pas lg menunjukan siapa apling hebat... ❤❤❤
@sudiuskogoya8860,Prabowo Subianto ❤❤🎉
@ikalmokoginta5108,✌️
@LazulfaInda,Mas gibran❤❤❤❤
@sudiuskogoya8860,"Emang Gibran orang lapangan kerja, yg lain hanya Mentri &quot; yg paling tahu  kelola dana APBN itu Bapak Gibran"
@sudiuskogoya8860,Prabgib❤
@haykalalriskiparla3432,"Susah debat klw gak ada data 😂😂 ,, dia punya data dia punya kuasa 🎉🎉🎉 udh fix udh anak muda"
@hellohello9159,Prabowo gibran ❤
@agungnusantara,Bubarkan UNHCR di indonesia karena tidak memberi manfaat buat rakyat indonesia sendiri dan tidak bermanfaat buat negara indonesia
@VainSenpai,All in Prabowo
@irfanaadelia7999,"Waduh2 sur@t TPS 2024 SUDAH BEREDAR DI TAIWAN, ADA AP@ YAAA ADA APA YAAAAAAA"
@editanatalia6759,Lagi lagi moderatornya xixixixi
